protocol,mode,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,74,20260990,libre,22,0,10,154,51,measure,1,B,20000,2,180432,6,6,1902271005639006914
interleaved,interleaved,74,20260990,libre,22,0,10,155,51,measure,2,A,20000,1,90213,6,6,14420787507381944826
interleaved,interleaved,74,20260990,libre,22,0,10,156,52,measure,0,A,20000,1,90216,6,6,4837159974277968303
interleaved,interleaved,74,20260990,libre,22,0,10,157,52,measure,1,A_bis,20000,1,93620,6,6,1115509493993513825
interleaved,interleaved,74,20260990,libre,22,0,10,158,52,measure,2,B,20000,2,194285,6,6,13678814608167418889
interleaved,interleaved,74,20260990,libre,22,0,10,159,53,measure,0,B,20000,2,190307,6,6,6820277467458559127
interleaved,interleaved,74,20260990,libre,22,0,10,160,53,measure,1,A_bis,20000,1,94958,6,6,1241245444311600382
interleaved,interleaved,74,20260990,libre,22,0,10,161,53,measure,2,A,20000,1,94966,6,6,10769809341331500435
interleaved,interleaved,74,20260990,libre,22,0,10,162,54,measure,0,A,20000,1,94970,6,6,8096836387940969090
interleaved,interleaved,74,20260990,libre,22,0,10,163,54,measure,1,B,20000,2,189945,6,6,2462587284085605172
interleaved,interleaved,74,20260990,libre,22,0,10,164,54,measure,2,A_bis,20000,1,94966,6,6,7337665542407708508
interleaved,interleaved,74,20260990,libre,22,0,10,165,55,measure,0,A,20000,1,94958,6,6,1669890142618240025
interleaved,interleaved,74,20260990,libre,22,0,10,166,55,measure,1,B,20000,2,337470,6,3,11660571905885628574
interleaved,interleaved,74,20260990,libre,22,0,10,167,55,measure,2,A_bis,20000,1,90297,3,3,15820953378338573135
interleaved,interleaved,74,20260990,libre,22,0,10,168,56,measure,0,A,20000,1,90218,3,3,10415467532908007252
interleaved,interleaved,74,20260990,libre,22,0,10,169,56,measure,1,A_bis,20000,1,90218,3,3,12673845319708515275
interleaved,interleaved,74,20260990,libre,22,0,10,170,56,measure,2,B,20000,2,180434,3,3,9132483470790595597
interleaved,interleaved,74,20260990,libre,22,0,10,171,57,measure,0,A,20000,1,90233,3,3,1040659140673679046
interleaved,interleaved,74,20260990,libre,22,0,10,172,57,measure,1,B,20000,2,199375,3,3,7990989442480649167
interleaved,interleaved,74,20260990,libre,22,0,10,173,57,measure,2,A_bis,20000,1,125042,3,3,1313718113819541296
interleaved,interleaved,74,20260990,libre,22,0,10,174,58,measure,0,A,20000,1,112795,3,3,2761979108494360188
interleaved,interleaved,74,20260990,libre,22,0,10,175,58,measure,1,A_bis,20000,1,112775,3,3,15906729904003979019
interleaved,interleaved,74,20260990,libre,22,0,10,176,58,measure,2,B,20000,2,225490,3,3,2914063928812991407
interleaved,interleaved,74,20260990,libre,22,0,10,177,59,measure,0,A_bis,20000,1,112785,3,3,6001005310290768960
interleaved,interleaved,74,20260990,libre,22,0,10,178,59,measure,1,A,20000,1,112776,3,3,13646690245336161250
interleaved,interleaved,74,20260990,libre,22,0,10,179,59,measure,2,B,20000,2,225513,3,3,14632098893668945639
interleaved,interleaved,74,20260990,libre,22,0,10,180,60,measure,0,A,20000,1,113276,3,3,9977939861533483788
